Musteri_Memnuniyeti,Maliyet,Oy_Sayisi,Mutfak_Turu,Rezervasyon,Online_Teslimat,Maliyet_Kategori
6.2,400,7,"Raw Meats, Fast Food",No,No,Orta
5.4,450,15,North Indian,No,No,Orta
6.4,450,9,North Indian,No,No,Orta
5.2,800,67,"Italian, Pizza, Fast Food",No,Yes,Pahalı
6.6,400,17,"Fast Food, Chinese, Bakery",No,No,Orta
5.6,600,4,"Mughlai, North Indian, Chinese",No,No,Orta
6.4,1200,74,"North Indian, Chinese, Mughlai",Yes,Yes,Pahalı
6.0,600,5,"Chinese, Mughlai",No,No,Orta
5.6,50,8,Street Food,No,No,Ekonomik
6.4,800,50,"North Indian, Chinese",Yes,No,Pahalı
5.8,300,16,"Chinese, South Indian",No,No,Ekonomik
6.0,600,20,North Indian,No,No,Orta
6.4,2500,14,"Italian, Continental",Yes,No,Pahalı
6.8,1100,74,"North Indian, Chinese, Fast Food",Yes,No,Pahalı
6.2,550,20,"Hyderabadi, North Indian",No,No,Orta
7.0,1200,133,"North Indian, Chinese, Mughlai, Continental",Yes,Yes,Pahalı
7.0,650,98,"North Indian, Mughlai, Chinese",No,No,Pahalı
7.2,250,26,Street Food,No,No,Ekonomik
7.4,500,68,Bakery,No,No,Orta
7.2,1000,283,"North Indian, Mughlai",Yes,No,Pahalı
7.0,1200,21,"North Indian, Chinese, Continental, Italian",Yes,No,Pahalı
7.0,150,23,Street Food,No,No,Ekonomik
7.2,600,55,"North Indian, Chinese",No,Yes,Orta
7.0,750,102,"North Indian, Chinese",No,Yes,Pahalı
4.8,500,20,"Chinese, Fast Food",No,No,Orta
4.2,350,54,North Indian,No,No,Orta
4.8,800,39,Chinese,No,Yes,Pahalı
5.8,200,6,North Indian,No,No,Ekonomik
6.0,250,15,North Indian,No,No,Ekonomik
5.8,200,7,"Bakery, Fast Food, Street Food",No,No,Ekonomik
5.8,300,16,"North Indian, Chinese",No,No,Ekonomik
6.0,300,6,Bakery,No,No,Ekonomik
5.8,400,9,Mughlai,No,No,Orta
5.8,350,5,Chinese,No,No,Orta
5.8,150,4,North Indian,No,No,Ekonomik
5.0,500,50,"North Indian, Chinese",No,Yes,Orta
6.2,100,12,Street Food,No,No,Ekonomik
6.4,500,79,"North Indian, Fast Food, South Indian",No,No,Orta
6.6,150,20,"Desserts, Street Food",No,No,Ekonomik
6.4,650,52,"North Indian, Chinese, Mughlai",No,Yes,Pahalı
6.6,500,26,"North Indian, Chinese, South Indian",No,Yes,Orta
6.4,350,11,"Fast Food, North Indian, South Indian, Chinese, Bakery",No,No,Orta
5.8,700,13,"Pizza, Fast Food",No,No,Pahalı
6.2,700,75,"Pizza, Fast Food",No,No,Pahalı
6.6,150,26,"Bakery, Fast Food",No,No,Ekonomik
5.8,700,10,"North Indian, Chinese",No,No,Pahalı
6.4,300,6,"Ice Cream, Desserts",No,No,Ekonomik
6.6,500,12,"Mithai, North Indian",No,No,Orta
6.2,350,22,Healthy Food,No,Yes,Orta
6.4,400,30,North Indian,No,No,Orta
6.6,100,12,Desserts,No,No,Ekonomik
5.2,400,15,North Indian,No,No,Orta
6.4,300,10,North Indian,No,No,Ekonomik
6.0,400,11,"North Indian, South Indian",No,No,Orta
6.0,400,16,"North Indian, South Indian, Fast Food",No,No,Orta
6.8,100,15,Mithai,No,No,Ekonomik
6.2,600,8,North Indian,No,No,Orta
5.4,450,18,North Indian,No,No,Orta
6.2,400,10,"North Indian, Fast Food",No,No,Orta
6.6,100,20,Street Food,No,No,Ekonomik
6.6,550,16,"North Indian, Chinese",No,No,Orta
6.8,500,39,North Indian,No,No,Orta
5.8,800,66,"South Indian, North Indian, Chinese",No,Yes,Pahalı
6.2,250,7,North Indian,No,No,Ekonomik
6.2,500,54,"North Indian, Mughlai",No,Yes,Orta
6.2,500,44,"South Indian, Fast Food, Street Food",No,No,Orta
6.2,600,15,"North Indian, Mughlai",No,No,Orta
5.8,800,14,"Chinese, North Indian",Yes,No,Pahalı
6.0,350,4,"Chinese, Mughlai, North Indian",No,No,Orta
6.2,200,13,"Chinese, Fast Food",No,No,Ekonomik
6.4,300,31,"North Indian, South Indian, Chinese, Fast Food",No,No,Ekonomik
7.2,550,22,"North Indian, Chinese",No,No,Orta
7.0,450,21,"Pizza, Fast Food",No,No,Orta
0.0,300,2,"Chinese, North Indian",No,No,Ekonomik
0.0,200,1,Street Food,No,No,Ekonomik
0.0,600,0,North Indian,No,No,Orta
0.0,200,0,"Chinese, South Indian, Fast Food",No,No,Ekonomik
0.0,200,0,North Indian,No,No,Ekonomik
0.0,200,0,North Indian,No,No,Ekonomik
0.0,300,0,Pizza,No,No,Ekonomik
0.0,150,0,"Beverages, Fast Food",No,No,Ekonomik
0.0,500,2,North Indian,No,No,Orta
0.0,350,3,"North Indian, Chinese, South Indian, Fast Food",No,No,Orta
0.0,400,2,"Bakery, Fast Food",No,Yes,Orta
0.0,350,0,Healthy Food,No,No,Orta
0.0,250,1,"Chinese, Fast Food",No,No,Ekonomik
0.0,100,0,Street Food,No,No,Ekonomik
0.0,350,2,"Raw Meats, Fast Food",No,No,Orta
0.0,300,2,Fast Food,No,No,Ekonomik
0.0,550,0,North Indian,No,No,Orta
0.0,350,0,North Indian,No,No,Orta
0.0,350,1,Pizza,No,No,Orta
0.0,450,2,North Indian,No,No,Orta
0.0,350,0,"Mughlai, North Indian",No,No,Orta
0.0,250,0,"Bakery, Fast Food",No,No,Ekonomik
0.0,300,0,"Raw Meats, Street Food",No,No,Ekonomik
0.0,200,1,Mithai,No,No,Ekonomik
0.0,100,0,Mithai,No,No,Ekonomik
0.0,250,1,North Indian,No,No,Ekonomik
0.0,200,0,Street Food,No,No,Ekonomik
0.0,250,3,South Indian,No,No,Ekonomik
0.0,300,0,"Chinese, Italian",No,No,Ekonomik
0.0,400,3,Bakery,No,No,Orta
6.2,400,10,"Bakery, Fast Food",No,Yes,Orta
7.0,2200,218,"Continental, Italian, North Indian",Yes,No,Pahalı
0.0,300,1,Fast Food,No,No,Ekonomik
0.0,1500,1,"Cafe, French",Yes,No,Pahalı
0.0,600,0,North Indian,No,No,Orta
0.0,300,1,"South Indian, Fast Food",No,No,Ekonomik
0.0,200,0,Fast Food,No,No,Ekonomik
0.0,200,1,"Bakery, Desserts",No,No,Ekonomik
0.0,300,1,Fast Food,No,No,Ekonomik
6.8,250,44,Fast Food,No,No,Ekonomik
6.0,500,7,"Cafe, Chinese",No,No,Orta
6.2,100,4,Street Food,No,No,Ekonomik
5.4,250,4,"Chinese, Fast Food",No,Yes,Ekonomik
5.6,250,8,"Mithai, North Indian, Chinese, Street Food",No,No,Ekonomik
5.4,400,7,"North Indian, Chinese",No,Yes,Orta
6.4,450,56,"Chinese, Fast Food",No,Yes,Orta
6.6,150,6,Fast Food,No,Yes,Ekonomik
6.0,600,4,"Bakery, Desserts",No,No,Orta
5.2,100,10,North Indian,No,Yes,Ekonomik
6.6,550,40,"Chinese, North Indian",No,No,Orta
6.8,700,49,"North Indian, Chinese, Fast Food",No,Yes,Pahalı
6.0,100,4,"Desserts, Ice Cream",No,No,Ekonomik
5.4,400,9,"South Indian, North Indian",No,No,Orta
5.2,450,102,"North Indian, Chinese, Fast Food",No,Yes,Orta
7.6,200,183,"North Indian, Street Food",No,No,Ekonomik
7.4,650,270,"Chinese, Asian, Thai",No,Yes,Pahalı
7.2,600,75,North Indian,No,Yes,Orta
7.0,800,116,"North Indian, Mughlai",Yes,Yes,Pahalı
0.0,250,0,Mughlai,No,No,Ekonomik
0.0,250,3,"North Indian, Chinese, South Indian",No,Yes,Ekonomik
0.0,300,3,South Indian,No,No,Ekonomik
0.0,250,2,"Raw Meats, Fast Food",No,No,Ekonomik
0.0,300,1,Mughlai,No,No,Ekonomik
0.0,300,2,"Bakery, Desserts",No,Yes,Ekonomik
0.0,300,0,"Bakery, Desserts",No,No,Ekonomik
0.0,600,2,"North Indian, Chinese",No,No,Orta
0.0,400,0,North Indian,No,Yes,Orta
0.0,300,0,Chinese,No,No,Ekonomik
0.0,150,0,North Indian,No,No,Ekonomik
0.0,100,1,Street Food,No,No,Ekonomik
0.0,200,3,"Bakery, Fast Food",No,Yes,Ekonomik
0.0,350,1,"North Indian, Chinese",No,Yes,Orta
0.0,300,0,Bakery,No,Yes,Ekonomik
0.0,250,1,South Indian,No,No,Ekonomik
0.0,500,0,"Mughlai, North Indian",No,No,Orta
0.0,150,2,"Mithai, Street Food",No,No,Ekonomik
0.0,200,0,North Indian,No,No,Ekonomik
0.0,200,3,North Indian,No,Yes,Ekonomik
0.0,400,0,Bakery,No,No,Orta
0.0,400,0,North Indian,No,Yes,Orta
0.0,500,0,North Indian,No,No,Orta
6.8,300,22,"North Indian, Chinese, Street Food, Mithai",No,Yes,Ekonomik
6.0,600,32,Biryani,No,Yes,Orta
6.2,1000,8,"Biryani, Hyderabadi",Yes,Yes,Pahalı
6.8,500,45,"Burger, Fast Food",No,Yes,Orta
5.0,700,47,"Pizza, Fast Food",No,No,Pahalı
6.8,650,59,"North Indian, Mughlai",No,Yes,Pahalı
5.8,550,39,Afghani,No,Yes,Orta
5.8,650,31,"Mughlai, North Indian",No,Yes,Pahalı
5.6,800,54,"Italian, Pizza, Fast Food",No,Yes,Pahalı
6.6,250,40,"North Indian, Street Food",No,No,Ekonomik
5.2,500,50,"North Indian, South Indian, Chinese",No,No,Orta
6.2,600,18,"North Indian, Chinese",No,No,Orta
6.2,500,33,"Mithai, North Indian, South Indian, Chinese, Street Food",No,No,Orta
6.0,300,41,"Burger, Fast Food, Chinese, Bakery",No,Yes,Ekonomik
7.0,200,70,Bakery,No,No,Ekonomik
7.4,550,269,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",No,Yes,Orta
7.6,600,472,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",No,No,Orta
7.6,500,21,Desserts,No,Yes,Orta
7.4,1000,57,"Asian, Thai",No,Yes,Pahalı
7.6,550,63,"North Indian, South Indian, Chinese",No,No,Orta
7.0,550,54,Cafe,No,No,Orta
0.0,1000,2,"North Indian, Mughlai, Nepalese, Tibetan, Korean",Yes,No,Pahalı
7.0,500,515,"Tibetan, Chinese",No,No,Orta
8.2,150,577,"North Indian, Street Food",No,No,Ekonomik
6.8,300,32,Fast Food,No,No,Ekonomik
6.4,300,23,"Fast Food, South Indian, Chinese",No,No,Ekonomik
6.6,600,23,"Mughlai, North Indian",No,No,Orta
6.6,500,12,Cafe,No,No,Orta
6.2,550,20,"North Indian, Fast Food",No,No,Orta
6.6,200,7,"Fast Food, Street Food",No,No,Ekonomik
6.4,450,11,"North Indian, Mughlai, Chinese, Italian",No,No,Orta
5.6,450,13,"North Indian, Chinese, Fast Food",No,Yes,Orta
0.0,100,0,Bakery,No,No,Ekonomik
0.0,300,0,"Chinese, South Indian",No,No,Ekonomik
0.0,300,0,"Mithai, Street Food",No,No,Ekonomik
0.0,250,0,"Chinese, Fast Food",No,No,Ekonomik
0.0,700,0,"North Indian, Chinese",No,No,Pahalı
0.0,400,0,"North Indian, Fast Food",No,No,Orta
8.4,400,762,"Fast Food, South Indian",No,No,Orta
5.6,250,8,"Pizza, Fast Food",No,No,Ekonomik
5.2,400,5,"North Indian, Chinese",No,Yes,Orta
6.6,250,13,"Fast Food, Mithai, Bakery",No,No,Ekonomik
6.2,400,24,North Indian,No,No,Orta
6.2,500,18,Fast Food,No,Yes,Orta
5.8,350,13,Chinese,No,No,Orta
5.6,500,14,"Chinese, Continental, Mexican",No,No,Orta
6.0,250,74,Street Food,No,No,Ekonomik
5.4,450,18,Cafe,No,No,Orta
5.6,450,14,Cafe,No,No,Orta
6.0,200,7,"North Indian, Chinese",No,No,Ekonomik
6.4,200,15,"Fast Food, Beverages",No,No,Ekonomik
5.6,200,9,North Indian,No,No,Ekonomik
6.2,100,8,North Indian,No,No,Ekonomik
6.0,150,11,Mithai,No,No,Ekonomik
6.8,250,17,"Bakery, Fast Food, Beverages",No,Yes,Ekonomik
5.8,250,11,Chinese,No,No,Ekonomik
5.2,700,46,"Pizza, Fast Food",No,No,Pahalı
5.2,600,10,"North Indian, Fast Food",No,Yes,Orta
6.4,250,4,Fast Food,No,Yes,Ekonomik
6.8,200,188,"Bakery, Fast Food",No,Yes,Ekonomik
6.0,200,9,Bakery,No,No,Ekonomik
5.2,500,8,"North Indian, Chinese",No,Yes,Orta
6.2,400,7,"Mughlai, Biryani",No,No,Orta
5.4,500,64,"North Indian, Mughlai",No,Yes,Orta
6.6,400,61,"North Indian, Mithai",No,No,Orta
6.0,300,13,North Indian,No,No,Ekonomik
5.8,600,7,"North Indian, Chinese",No,No,Orta
6.8,900,31,"North Indian, Chinese",No,Yes,Pahalı
6.0,300,8,"North Indian, South Indian",No,Yes,Ekonomik
5.6,200,8,"Mithai, Street Food",No,No,Ekonomik
5.8,500,17,"Pizza, Fast Food",No,Yes,Orta
5.6,400,34,"South Indian, Fast Food",No,No,Orta
6.6,300,29,South Indian,No,No,Ekonomik
6.2,350,21,North Indian,No,No,Orta
5.6,200,7,"Fast Food, Tea",No,Yes,Ekonomik
5.4,500,25,North Indian,No,No,Orta
6.8,300,31,Chinese,No,No,Ekonomik
6.0,350,10,"Chinese, Fast Food",No,No,Orta
6.4,300,23,"Chinese, Fast Food",No,Yes,Ekonomik
6.2,350,7,Chinese,No,No,Orta
6.2,250,13,Fast Food,No,No,Ekonomik
6.2,250,10,"Chinese, North Indian",No,No,Ekonomik
7.0,600,22,Biryani,No,Yes,Orta
7.0,500,66,"Burger, Fast Food",No,Yes,Orta
7.6,200,70,Street Food,No,No,Ekonomik
7.6,600,270,"Italian, Pizza",No,Yes,Orta
7.4,800,40,"Sushi, Asian",No,Yes,Pahalı
7.0,500,54,"Cafe, Pizza",No,No,Orta
0.0,500,3,"North Indian, Mughlai",No,No,Orta
0.0,250,0,South Indian,No,No,Ekonomik
0.0,350,0,Fast Food,No,No,Orta
0.0,350,0,"South Indian, Chinese, Fast Food",No,No,Orta
0.0,300,0,"Chinese, North Indian",No,No,Ekonomik
4.8,800,41,"Mughlai, Fast Food, North Indian",No,Yes,Pahalı
4.2,400,121,"North Indian, South Indian, Street Food, Chinese, Fast Food, Mithai",No,Yes,Orta
4.4,500,120,"North Indian, Chinese",No,Yes,Orta
8.2,800,675,"Chinese, North Indian, Fast Food, Italian",No,Yes,Pahalı
6.6,2000,20,Finger Food,No,No,Pahalı
7.0,5000,114,Chinese,Yes,No,Pahalı
7.8,2000,90,Cafe,No,No,Pahalı
7.0,3000,39,Finger Food,Yes,No,Pahalı
7.6,4500,273,Continental,Yes,No,Pahalı
8.0,4500,189,"Continental, European, North Indian, French",Yes,No,Pahalı
7.0,1000,26,North Indian,Yes,No,Pahalı
5.0,600,66,"North Indian, Chinese",No,No,Orta
6.2,650,15,"North Indian, Mughlai, Chinese",No,No,Pahalı
6.2,650,81,"Chinese, Thai",No,No,Pahalı
6.6,400,205,"North Indian, Street Food, South Indian, Mithai",No,No,Orta
6.2,1000,54,"North Indian, Mughlai",Yes,No,Pahalı
5.0,700,81,"Pizza, Fast Food",No,No,Pahalı
6.4,650,67,"North Indian, Mughlai, Chinese",No,Yes,Pahalı
5.8,150,8,"Ice Cream, Street Food",No,No,Ekonomik
5.2,1000,72,"North Indian, Mughlai, Chinese",Yes,Yes,Pahalı
6.8,250,51,"Bakery, Desserts, Fast Food",No,No,Ekonomik
6.4,700,75,"North Indian, Mughlai, Chinese",No,Yes,Pahalı
5.4,250,27,Fast Food,No,No,Ekonomik
6.4,200,15,"Ice Cream, Desserts",No,No,Ekonomik
5.2,400,32,"Chinese, North Indian, Mithai, Street Food",No,No,Orta
6.0,1500,7,Asian,Yes,No,Pahalı
5.8,450,49,"North Indian, Chinese, Mughlai",No,No,Orta
6.2,400,12,Bakery,No,No,Orta
5.2,500,26,"North Indian, Mithai, Street Food",No,No,Orta
6.6,250,25,"Mithai, Street Food",No,No,Ekonomik
5.8,350,12,"Raw Meats, North Indian, Fast Food",No,No,Orta
5.0,850,55,"North Indian, Chinese, Mughlai",Yes,No,Pahalı
6.4,1000,18,"Chinese, North Indian",Yes,No,Pahalı
6.8,700,98,"North Indian, Mughlai, Chinese, Fast Food",No,Yes,Pahalı
6.2,200,8,Fast Food,No,No,Ekonomik
5.8,350,6,"Mithai, Street Food",No,No,Orta
5.4,400,10,"Raw Meats, Fast Food",No,No,Orta
6.6,700,171,"Italian, Pizza, Bakery",Yes,Yes,Pahalı
6.4,500,66,"American, Fast Food, Salad, Healthy Food",No,Yes,Orta
6.2,600,11,Cafe,No,No,Orta
6.2,2200,10,"Japanese, French",Yes,No,Pahalı
7.2,300,26,Ice Cream,No,No,Ekonomik
7.0,500,14,"Cafe, Desserts, Bakery",No,No,Orta
7.6,400,330,"South Indian, Fast Food",No,Yes,Orta
7.6,1000,25,"American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",No,Yes,Pahalı
7.4,2000,393,"American, Continental, Italian, Bakery",Yes,Yes,Pahalı
7.8,300,200,"Desserts, Middle Eastern, Turkish",No,Yes,Ekonomik
7.0,1800,148,"Mughlai, North Indian",Yes,Yes,Pahalı
7.6,600,202,"North Indian, Mughlai, Chinese",No,No,Orta
7.2,300,58,"Desserts, Bakery",No,No,Ekonomik
0.0,1000,2,Cafe,Yes,No,Pahalı
4.6,450,52,Cafe,No,No,Orta
8.2,2900,665,"Japanese, Sushi",Yes,No,Pahalı
8.2,2100,278,Asian,Yes,No,Pahalı
8.2,1000,3495,"American, Fast Food",No,No,Pahalı
5.6,500,8,"North Indian, South Indian, Chinese",No,No,Orta
6.0,450,63,Chinese,No,No,Orta
6.6,400,13,Street Food,No,No,Orta
5.4,500,19,"Chinese, Thai",No,No,Orta
6.2,700,55,"North Indian, Chinese",No,No,Pahalı
6.2,550,53,North Indian,No,No,Orta
5.8,300,13,North Indian,No,No,Ekonomik
5.8,150,7,North Indian,No,No,Ekonomik
6.4,500,19,"Pizza, Fast Food",No,No,Orta
7.4,2000,131,"Asian, Chinese",Yes,No,Pahalı
7.2,200,25,"Bakery, Desserts, Fast Food",No,No,Ekonomik
7.6,1000,194,"North Indian, Mughlai",Yes,No,Pahalı
7.4,450,162,Mughlai,No,No,Orta
0.0,400,1,Bakery,No,No,Orta
0.0,250,2,Mithai,No,No,Ekonomik
0.0,400,0,North Indian,No,No,Orta
0.0,300,0,Chinese,No,No,Ekonomik
0.0,300,2,"Bengali, North Indian",No,No,Ekonomik
8.4,2600,2549,"European, Lebanese, Mediterranean",Yes,Yes,Pahalı
5.4,400,11,"North Indian, Mithai, South Indian, Street Food, Fast Food",No,No,Orta
5.8,200,5,North Indian,No,No,Ekonomik
5.8,1000,7,"North Indian, South Indian, Chinese",Yes,No,Pahalı
5.4,200,14,Mithai,No,No,Ekonomik
5.8,600,6,"Mithai, North Indian, South Indian, Chinese, Street Food",No,No,Orta
6.0,550,5,"North Indian, Chinese",No,No,Orta
6.4,300,17,Chinese,No,No,Ekonomik
5.0,600,6,"Fast Food, Pizza",No,Yes,Orta
6.2,600,16,North Indian,No,No,Orta
6.2,400,12,Chinese,No,No,Orta
5.8,600,11,"North Indian, Chinese, Fast Food",No,No,Orta
6.2,700,6,"North Indian, Chinese, Mughlai",No,No,Pahalı
5.6,950,17,"North Indian, Chinese",Yes,No,Pahalı
6.0,800,22,"North Indian, Mughlai, Chinese",Yes,No,Pahalı
6.0,550,5,"North Indian, South Indian, Continental, Fast Food",No,No,Orta
6.2,500,8,"Fast Food, North Indian, Bakery",No,No,Orta
5.6,900,10,"North Indian, Mughlai, Chinese, Continental, Fast Food",Yes,No,Pahalı
5.8,500,15,"North Indian, Fast Food, Biryani",No,No,Orta
5.8,900,6,"North Indian, Chinese",Yes,No,Pahalı
5.6,300,5,"Biryani, Chinese, North Indian",No,No,Ekonomik
5.8,550,5,"North Indian, Chinese",No,No,Orta
6.2,1000,16,"North Indian, Chinese, Mughlai, South Indian",Yes,No,Pahalı
5.8,200,5,North Indian,No,No,Ekonomik
5.8,450,6,"North Indian, Chinese",No,No,Orta
7.8,700,23,"North Indian, Chinese, Continental, Fast Food",No,No,Pahalı
0.0,150,0,"Mithai, Street Food",No,No,Ekonomik
0.0,500,0,North Indian,No,No,Orta
0.0,350,0,North Indian,No,No,Orta
0.0,150,1,North Indian,No,No,Ekonomik
0.0,200,1,"Burger, Fast Food",No,No,Ekonomik
0.0,250,0,"Fast Food, Chinese",No,No,Ekonomik
0.0,600,0,"Bakery, Desserts",No,Yes,Orta
0.0,100,0,North Indian,No,No,Ekonomik
0.0,1000,0,"Cafe, North Indian, Continental",No,No,Pahalı
0.0,600,0,"North Indian, Chinese, Mughlai",No,No,Orta
0.0,150,0,North Indian,No,No,Ekonomik
0.0,300,0,"North Indian, Mughlai, Chinese",No,No,Ekonomik
0.0,300,2,Bakery,No,No,Ekonomik
0.0,650,0,"North Indian, Chinese, Fast Food",No,No,Pahalı
0.0,600,2,"North Indian, Mughlai, Chinese",No,No,Orta
0.0,300,1,"North Indian, Mithai",No,No,Ekonomik
0.0,350,0,"North Indian, Chinese",No,No,Orta
0.0,150,0,Street Food,No,No,Ekonomik
0.0,350,0,North Indian,No,No,Orta
0.0,100,0,North Indian,No,No,Ekonomik
0.0,400,3,North Indian,No,No,Orta
0.0,450,3,Fast Food,No,No,Orta
0.0,350,0,Kerala,No,No,Orta
0.0,250,0,"North Indian, Chinese, South Indian",No,No,Ekonomik
0.0,500,1,"North Indian, Chinese",No,No,Orta
0.0,250,2,Bakery,No,No,Ekonomik
0.0,500,0,"Mughlai, North Indian",No,No,Orta
0.0,300,0,North Indian,No,No,Ekonomik
0.0,300,0,North Indian,No,No,Ekonomik
0.0,150,2,"North Indian, Biryani",No,No,Ekonomik
0.0,500,1,"North Indian, Chinese, Fast Food",No,No,Orta
0.0,250,2,"Pizza, Fast Food",No,No,Ekonomik
0.0,450,1,"South Indian, Nepalese",No,No,Orta
0.0,500,1,North Indian,No,No,Orta
0.0,450,2,North Indian,No,No,Orta
0.0,300,1,Chinese,No,No,Ekonomik
0.0,300,1,Mughlai,No,No,Ekonomik
0.0,250,2,"North Indian, Biryani",No,No,Ekonomik
0.0,150,0,North Indian,No,No,Ekonomik
0.0,250,0,North Indian,No,No,Ekonomik
0.0,1000,0,"North Indian, Mughlai, Chinese",Yes,No,Pahalı
0.0,350,0,Biryani,No,No,Orta
0.0,200,0,North Indian,No,No,Ekonomik
0.0,150,1,"Mithai, Street Food",No,No,Ekonomik
5.4,2000,17,Finger Food,Yes,No,Pahalı
6.8,3200,39,"European, North Indian",Yes,No,Pahalı
6.6,3000,57,"North Indian, Continental",Yes,No,Pahalı
6.0,500,8,"Chinese, North Indian",No,No,Orta
6.4,500,13,Cafe,No,No,Orta
6.2,450,7,"Naga, Chinese",No,No,Orta
6.2,450,8,"Tibetan, Chinese",No,No,Orta
0.0,300,0,"North Indian, Chinese",No,No,Ekonomik
0.0,400,1,Chinese,No,No,Orta
0.0,400,0,"Tibetan, South Indian, North Indian",No,No,Orta
0.0,600,0,"Cafe, North Eastern",No,No,Orta
0.0,400,3,"Tibetan, Chinese",No,No,Orta
0.0,500,0,Tibetan,No,No,Orta
0.0,550,0,"North Indian, Chinese, Tibetan",No,No,Orta
0.0,250,0,Ice Cream,No,No,Ekonomik
0.0,300,0,Chinese,No,No,Ekonomik
0.0,400,0,"Tibetan, Chinese, North Indian",No,No,Orta
0.0,300,0,Nepalese,No,No,Ekonomik
0.0,300,0,"Tibetan, Chinese",No,No,Ekonomik
0.0,300,0,Nepalese,No,No,Ekonomik
0.0,300,0,"Cafe, Tibetan",No,No,Ekonomik
0.0,600,1,"Tibetan, Chinese",No,No,Orta
0.0,400,0,"North Indian, South Indian, Fast Food",No,No,Orta
0.0,300,0,"Nepalese, Tibetan",No,No,Ekonomik
0.0,450,3,Chinese,No,No,Orta
0.0,500,0,"Asian, Chinese",No,No,Orta
0.0,350,0,"North Indian, Fast Food",No,No,Orta
0.0,600,1,"Tibetan, Chinese, North Indian",No,No,Orta
6.4,700,93,"North Indian, Mughlai",No,Yes,Pahalı
6.6,400,78,"Burger, Fast Food",No,No,Orta
6.2,450,7,"Cafe, Chinese",No,No,Orta
5.0,450,52,Cafe,No,No,Orta
6.6,1550,191,"Mexican, Italian, North Indian, Continental, Asian",Yes,Yes,Pahalı
6.8,500,75,"Bakery, Desserts",No,No,Orta
6.6,350,51,"Street Food, North Indian",No,No,Orta
6.6,650,35,"Chinese, Thai",No,Yes,Pahalı
6.8,800,297,"North Indian, Mughlai",No,Yes,Pahalı
6.4,800,245,"North Indian, Chinese, Mughlai",No,No,Pahalı
5.4,650,68,"North Indian, Chinese, Mughlai",No,Yes,Pahalı
6.6,500,105,"North Indian, Chinese",No,No,Orta
6.8,200,45,Healthy Food,No,Yes,Ekonomik
6.0,800,183,"Mughlai, North Indian",Yes,Yes,Pahalı
6.0,200,15,South Indian,No,No,Ekonomik
5.6,400,75,"North Indian, Fast Food, Chinese",No,Yes,Orta
6.4,400,17,"Chinese, Tibetan",No,Yes,Orta
6.6,300,20,Maharashtrian,No,Yes,Ekonomik
6.8,300,214,"Fast Food, North Indian",No,No,Ekonomik
5.2,600,146,"North Indian, Chinese",No,Yes,Orta
6.8,250,103,"Bakery, Desserts, Fast Food",No,Yes,Ekonomik
6.6,550,250,"Fast Food, Beverages",No,Yes,Orta
6.8,800,50,"North Indian, Chinese, Fast Food",No,Yes,Pahalı
6.4,400,14,Chinese,No,No,Orta
5.6,800,120,"Italian, Pizza, Fast Food",No,Yes,Pahalı
6.0,700,34,"North Indian, Chinese",No,Yes,Pahalı
6.6,150,62,"Street Food, North Indian",No,Yes,Ekonomik
6.8,500,218,"Fast Food, North Indian, Chinese",No,Yes,Orta
6.8,800,217,Chinese,No,Yes,Pahalı
5.6,500,183,"American, Fast Food, Salad, Healthy Food",No,Yes,Orta
6.8,850,155,"Cafe, Italian, Mexican, Salad, Desserts",Yes,Yes,Pahalı
5.6,800,198,"North Indian, Mughlai, Chinese",Yes,Yes,Pahalı
6.8,600,485,"North Indian, Mughlai, Chinese",No,Yes,Orta
6.4,600,134,"North Indian, Mughlai, Chinese",No,Yes,Orta
6.6,350,37,"Street Food, Fast Food",No,Yes,Orta
7.2,600,61,Biryani,No,Yes,Orta
7.0,900,226,"North Indian, Mughlai, Chinese",No,Yes,Pahalı
7.8,500,100,"North Indian, Chinese, Mughlai",No,Yes,Orta
7.8,1000,113,"Biryani, Hyderabadi",No,Yes,Pahalı
7.8,850,50,"Burger, American, Fast Food",No,Yes,Pahalı
7.6,650,306,Chinese,No,Yes,Pahalı
7.0,750,361,"North Indian, Chinese",No,Yes,Pahalı
7.2,600,290,"Burger, Desserts, Fast Food",No,Yes,Orta
7.4,800,93,"North Indian, Chinese",No,Yes,Pahalı
7.4,400,370,South Indian,No,Yes,Orta
7.6,700,55,"North Indian, Italian",No,Yes,Pahalı
7.4,600,132,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",No,Yes,Orta
7.4,400,145,"Ice Cream, Desserts",No,Yes,Orta
7.6,250,45,"Mithai, Street Food",No,No,Ekonomik
7.0,350,52,"Raw Meats, North Indian, Fast Food",No,No,Orta
7.4,500,99,"Italian, North Indian, Chinese, Mughlai",No,Yes,Orta
7.2,150,82,Fast Food,No,No,Ekonomik
7.0,850,99,"North Indian, Mughlai, Chinese",Yes,Yes,Pahalı
7.2,100,114,"Mithai, Street Food",No,No,Ekonomik
7.2,650,427,"North Indian, Mughlai, Chinese",No,No,Pahalı
7.4,600,408,"Chinese, Thai",No,No,Orta
7.0,700,60,"Chinese, Thai",No,Yes,Pahalı
7.2,700,412,"Chinese, Tibetan, Japanese",No,Yes,Pahalı
